title,overview,genre_list,crew_list,cast_list,original_language,comp_list,comb
Spider-Man: Homecoming,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",Action Adventure Science Fiction ,Jon Watts,Tom Holland Michael Keaton Robert Downey Jr. Marisa Tomei,en,unknown,Action Adventure Science Fiction Tom Holland Michael Keaton Robert Downey Jr. Marisa TomeiJon Wattsen
Guardians of the Galaxy Vol. 2,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",Action Adventure Comedy ,James Gunn,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel,en,unknown,Action Adventure Comedy Chris Pratt Zoe Saldana Dave Bautista Vin DieselJames Gunnen
All the Money in the World,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,Biography Crime Drama ,Ridley Scott,Michelle Williams Christopher Plummer Mark Wahlberg Romain Duris,en,unknown,Biography Crime Drama Michelle Williams Christopher Plummer Mark Wahlberg Romain DurisRidley Scotten
Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Action Crime Music ,Edgar Wright,Ansel Elgort Jon Bernthal Jon Hamm Eiza González,en,unknown,Action Crime Music Ansel Elgort Jon Bernthal Jon Hamm Eiza GonzálezEdgar Wrighten
Jungle,"A group of friends join a guide for a trek into the Bolivian jungle, searching for an Indian village. The men soon realize that the jungle is a difficult place to be.",Action Adventure Biography ,Greg McLean,Daniel Radcliffe Thomas Kretschmann Joel Jackson Yasmin Kassim,en,unknown,Action Adventure Biography Daniel Radcliffe Thomas Kretschmann Joel Jackson Yasmin KassimGreg McLeanen
Wonder Woman,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Action Adventure Fantasy ,Patty Jenkins,Gal Gadot Chris Pine Robin Wright Lucy Davis,en,unknown,Action Adventure Fantasy Gal Gadot Chris Pine Robin Wright Lucy DavisPatty Jenkinsen
Logan Lucky,Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,Comedy Crime Drama ,Steven Soderbergh,Channing Tatum Adam Driver Daniel Craig Farrah Mackenzie,en,unknown,Comedy Crime Drama Channing Tatum Adam Driver Daniel Craig Farrah MackenzieSteven Soderberghen
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Action Drama Science Fiction ,James Mangold,Hugh Jackman Patrick Stewart Dafne Keen Boyd Holbrook,en,unknown,Action Drama Science Fiction Hugh Jackman Patrick Stewart Dafne Keen Boyd HolbrookJames Mangolden
Valerian and the City of a Thousand Planets,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",Action Adventure Fantasy ,Luc Besson,Dane DeHaan Cara Delevingne Clive Owen Rihanna,en,unknown,Action Adventure Fantasy Dane DeHaan Cara Delevingne Clive Owen RihannaLuc Bessonen
Pirates of the Caribbean: Dead Men Tell No Tales,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,Action Adventure Fantasy ,Joachim Rønning,Espen Sandberg Johnny Depp Geoffrey Rush Javier Bardem Orlando Bloom,en,unknown,Action Adventure Fantasy Espen Sandberg Johnny Depp Geoffrey Rush Javier Bardem Orlando BloomJoachim Rønningen
Alien: Covenant,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",Horror Science Fiction Thriller ,Ridley Scott,Michael Fassbender Katherine Waterston Billy Crudup Danny McBride,en,unknown,Horror Science Fiction Thriller Michael Fassbender Katherine Waterston Billy Crudup Danny McBrideRidley Scotten
Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Animation Adventure Family ,Lee Unkrich,Adrian Molina Anthony Gonzalez Gael García Bernal Benjamin Bratt Alanna Ubach,en,unknown,Animation Adventure Family Adrian Molina Anthony Gonzalez Gael García Bernal Benjamin Bratt Alanna UbachLee Unkrichen
Molly's Game,"The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",Biography Crime Drama ,Aaron Sorkin,Jessica Chastain Idris Elba Kevin Costner Michael Cera,en,unknown,Biography Crime Drama Jessica Chastain Idris Elba Kevin Costner Michael CeraAaron Sorkinen
Baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",Action Comedy Crime ,Seth Gordon,Dwayne Johnson Zac Efron Alexandra Daddario Priyanka Chopra,en,unknown,Action Comedy Crime Dwayne Johnson Zac Efron Alexandra Daddario Priyanka ChopraSeth Gordonen
Marshall,"The story of Thurgood Marshall, the crusading lawyer who would become the first African-American Supreme Court Justice, as he battles through one of his career-defining cases.",Biography Crime Drama ,Reginald Hudlin,Chadwick Boseman Josh Gad Kate Hudson Sterling K. Brown,en,unknown,Biography Crime Drama Chadwick Boseman Josh Gad Kate Hudson Sterling K. BrownReginald Hudlinen
Star Wars: Episode VIII - The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",Action Adventure Fantasy ,Rian Johnson,Daisy Ridley John Boyega Mark Hamill Carrie Fisher,en,unknown,Action Adventure Fantasy Daisy Ridley John Boyega Mark Hamill Carrie FisherRian Johnsonen
Pitch Perfect 3,"Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices.",Comedy Music ,Trish Sie,Anna Kendrick Rebel Wilson Brittany Snow Anna Camp,en,unknown,Comedy Music Anna Kendrick Rebel Wilson Brittany Snow Anna CampTrish Sieen
Mother!,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",Drama Horror Mystery ,Darren Aronofsky,Jennifer Lawrence Javier Bardem Ed Harris Michelle Pfeiffer,en,unknown,Drama Horror Mystery Jennifer Lawrence Javier Bardem Ed Harris Michelle PfeifferDarren Aronofskyen
Kong: Skull Island,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",Action Adventure Fantasy ,Jordan Vogt-Roberts,Tom Hiddleston Samuel L. Jackson Brie Larson John C. Reilly,en,unknown,Action Adventure Fantasy Tom Hiddleston Samuel L. Jackson Brie Larson John C. ReillyJordan Vogt-Robertsen
The Fate of the Furious,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",Action Adventure Crime ,F. Gary Gray,Vin Diesel Jason Statham Dwayne Johnson Michelle Rodriguez,en,unknown,Action Adventure Crime Vin Diesel Jason Statham Dwayne Johnson Michelle RodriguezF. Gary Grayen
The Mummy,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",Action Adventure Fantasy ,Alex Kurtzman,Tom Cruise Sofia Boutella Annabelle Wallis Russell Crowe,en,unknown,Action Adventure Fantasy Tom Cruise Sofia Boutella Annabelle Wallis Russell CroweAlex Kurtzmanen
Transformers: The Last Knight,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",Action Adventure Science Fiction ,Michael Bay,Mark Wahlberg Anthony Hopkins Josh Duhamel Laura Haddock,en,unknown,Action Adventure Science Fiction Mark Wahlberg Anthony Hopkins Josh Duhamel Laura HaddockMichael Bayen
The Dark Tower,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.,Action Adventure Fantasy ,Nikolaj Arcel,Idris Elba Matthew McConaughey Tom Taylor Dennis Haysbert,en,unknown,Action Adventure Fantasy Idris Elba Matthew McConaughey Tom Taylor Dennis HaysbertNikolaj Arcelen
Life,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,Horror Science Fiction Thriller ,Daniel Espinosa,Jake Gyllenhaal Rebecca Ferguson Ryan Reynolds Hiroyuki Sanada,en,unknown,Horror Science Fiction Thriller Jake Gyllenhaal Rebecca Ferguson Ryan Reynolds Hiroyuki SanadaDaniel Espinosaen
John Wick: Chapter 2,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",Action Crime Thriller ,Chad Stahelski,Keanu Reeves Riccardo Scamarcio Ian McShane Ruby Rose,en,unknown,Action Crime Thriller Keanu Reeves Riccardo Scamarcio Ian McShane Ruby RoseChad Stahelskien
"I, Tonya","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",Biography Comedy Drama ,Craig Gillespie,Margot Robbie Sebastian Stan Allison Janney Julianne Nicholson,en,unknown,Biography Comedy Drama Margot Robbie Sebastian Stan Allison Janney Julianne NicholsonCraig Gillespieen
Fifty Shades Darker,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",Drama Romance ,James Foley,Dakota Johnson Jamie Dornan Eric Johnson Eloise Mumford,en,unknown,Drama Romance Dakota Johnson Jamie Dornan Eric Johnson Eloise MumfordJames Foleyen
Wind River,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,Crime Drama Mystery ,Taylor Sheridan,Kelsey Asbille Jeremy Renner Julia Jones Teo Briones,en,unknown,Crime Drama Mystery Kelsey Asbille Jeremy Renner Julia Jones Teo BrionesTaylor Sheridanen
Power Rangers,"A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world.",Action Adventure Science Fiction ,Dean Israelite,Dacre Montgomery Naomi Scott RJ Cyler Ludi Lin,en,unknown,Action Adventure Science Fiction Dacre Montgomery Naomi Scott RJ Cyler Ludi LinDean Israeliteen
King Arthur: Legend of the Sword,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",Action Adventure Drama ,Guy Ritchie,Charlie Hunnam Astrid Bergès-Frisbey Jude Law Djimon Hounsou,en,unknown,Action Adventure Drama Charlie Hunnam Astrid Bergès-Frisbey Jude Law Djimon HounsouGuy Ritchieen
The Disaster Artist,"When Greg Sestero, an aspiring film actor, meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.",Biography Comedy Drama ,James Franco,James Franco Dave Franco Ari Graynor Seth Rogen,en,unknown,Biography Comedy Drama James Franco Dave Franco Ari Graynor Seth RogenJames Francoen
Geostorm,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.",Action Science Fiction Thriller ,Dean Devlin,Gerard Butler Jim Sturgess Abbie Cornish Alexandra Maria Lara,en,unknown,Action Science Fiction Thriller Gerard Butler Jim Sturgess Abbie Cornish Alexandra Maria LaraDean Devlinen
Happy Death Day,"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",Horror Mystery Thriller ,Christopher Landon,Jessica Rothe Israel Broussard Ruby Modine Charles Aitken,en,unknown,Horror Mystery Thriller Jessica Rothe Israel Broussard Ruby Modine Charles AitkenChristopher Landonen
American Assassin,"After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley.",Action Thriller ,Michael Cuesta,Dylan O'Brien Michael Keaton Sanaa Lathan Taylor Kitsch,en,unknown,Action Thriller Dylan O'Brien Michael Keaton Sanaa Lathan Taylor KitschMichael Cuestaen
The Circle,"A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity.",Drama Science Fiction Thriller ,James Ponsoldt,Emma Watson Tom Hanks John Boyega Ellar Coltrane,en,unknown,Drama Science Fiction Thriller Emma Watson Tom Hanks John Boyega Ellar ColtraneJames Ponsoldten
Atomic Blonde,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,Action Thriller ,David Leitch,Charlize Theron James McAvoy John Goodman Eddie Marsan,en,unknown,Action Thriller Charlize Theron James McAvoy John Goodman Eddie MarsanDavid Leitchen
Ghost in the Shell,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",Action Crime Drama ,Rupert Sanders,Scarlett Johansson Pilou Asbæk Takeshi Kitano Juliette Binoche,en,unknown,Action Crime Drama Scarlett Johansson Pilou Asbæk Takeshi Kitano Juliette BinocheRupert Sandersen
Bright,A detective must work with an Orc to find a powerful wand before evil creatures do.,Action Fantasy Thriller ,David Ayer,Will Smith Joel Edgerton Noomi Rapace Edgar Ramírez,en,unknown,Action Fantasy Thriller Will Smith Joel Edgerton Noomi Rapace Edgar RamírezDavid Ayeren
The Ritual,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",Horror Mystery Thriller ,David Bruckner,Rafe Spall Arsher Ali Robert James-Collier Sam Troughton,en,unknown,Horror Mystery Thriller Rafe Spall Arsher Ali Robert James-Collier Sam TroughtonDavid Bruckneren
The Foreigner,"A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.",Action Thriller ,Martin Campbell,Katie Leung Jackie Chan Rufus Jones Mark Tandy,en,unknown,Action Thriller Katie Leung Jackie Chan Rufus Jones Mark TandyMartin Campbellen
Shot Caller,A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,Crime Drama Thriller ,Ric Roman Waugh,Nikolaj Coster-Waldau Omari Hardwick Lake Bell Jon Bernthal,en,unknown,Crime Drama Thriller Nikolaj Coster-Waldau Omari Hardwick Lake Bell Jon BernthalRic Roman Waughen
The Hitman's Bodyguard,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",Action Comedy Crime ,Patrick Hughes,Ryan Reynolds Samuel L. Jackson Gary Oldman Elodie Yung,en,unknown,Action Comedy Crime Ryan Reynolds Samuel L. Jackson Gary Oldman Elodie YungPatrick Hughesen
American Made,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",Action Biography Comedy ,Doug Liman,Tom Cruise Domhnall Gleeson Sarah Wright Jesse Plemons,en,unknown,Action Biography Comedy Tom Cruise Domhnall Gleeson Sarah Wright Jesse PlemonsDoug Limanen
Annabelle: Creation,"Twelve years after the tragic death of their little girl, a doll-maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they become the target of the doll-maker's possessed creation, Annabelle.",Horror Mystery Thriller ,David F. Sandberg,Anthony LaPaglia Samara Lee Miranda Otto Brad Greenquist,en,unknown,Horror Mystery Thriller Anthony LaPaglia Samara Lee Miranda Otto Brad GreenquistDavid F. Sandbergen
Flatliners,"Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife.",Drama Horror Mystery ,Niels Arden Oplev,Ellen Page Diego Luna Nina Dobrev James Norton,en,unknown,Drama Horror Mystery Ellen Page Diego Luna Nina Dobrev James NortonNiels Arden Opleven
It Comes at Night,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge.",Horror Mystery ,Trey Edward Shults,Joel Edgerton Christopher Abbott Carmen Ejogo Riley Keough,en,unknown,Horror Mystery Joel Edgerton Christopher Abbott Carmen Ejogo Riley KeoughTrey Edward Shultsen
Ferdinand,"After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",Animation Adventure Comedy ,Carlos Saldanha,John Cena Kate McKinnon Bobby Cannavale Jack Gore,en,unknown,Animation Adventure Comedy John Cena Kate McKinnon Bobby Cannavale Jack GoreCarlos Saldanhaen
War for the Planet of the Apes,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",Action Adventure Drama ,Matt Reeves,Andy Serkis Woody Harrelson Steve Zahn Karin Konoval,en,unknown,Action Adventure Drama Andy Serkis Woody Harrelson Steve Zahn Karin KonovalMatt Reevesen
Despicable Me 3,"Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.",Animation Adventure Comedy ,Kyle Balda,Pierre Coffin Eric Guillon Steve Carell Kristen Wiig Trey Parker Miranda Cosgrove,en,unknown,Animation Adventure Comedy Pierre Coffin Eric Guillon Steve Carell Kristen Wiig Trey Parker Miranda CosgroveKyle Baldaen
A Ghost Story,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",Drama Fantasy Romance ,David Lowery,Casey Affleck Rooney Mara McColm Cephas Jr. Kenneisha Thompson,en,unknown,Drama Fantasy Romance Casey Affleck Rooney Mara McColm Cephas Jr. Kenneisha ThompsonDavid Loweryen
The Boss Baby,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",Animation Adventure Comedy ,Tom McGrath,Alec Baldwin Steve Buscemi Jimmy Kimmel Lisa Kudrow,en,unknown,Animation Adventure Comedy Alec Baldwin Steve Buscemi Jimmy Kimmel Lisa KudrowTom McGrathen
The Mountain Between Us,"Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.",Action Adventure Drama ,Hany Abu-Assad,Kate Winslet Idris Elba Beau Bridges Dermot Mulroney,en,unknown,Action Adventure Drama Kate Winslet Idris Elba Beau Bridges Dermot MulroneyHany Abu-Assaden
The Snowman,Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.,Crime Drama Mystery ,Tomas Alfredson,Michael Fassbender Rebecca Ferguson Charlotte Gainsbourg Jonas Karlsson,en,unknown,Crime Drama Mystery Michael Fassbender Rebecca Ferguson Charlotte Gainsbourg Jonas KarlssonTomas Alfredsonen
Unlocked,A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.,Action Drama Mystery ,Michael Apted,Noomi Rapace Orlando Bloom Toni Collette John Malkovich,en,unknown,Action Drama Mystery Noomi Rapace Orlando Bloom Toni Collette John MalkovichMichael Apteden
Jigsaw,"Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years.",Crime Horror Mystery ,Michael Spierig,Peter Spierig Matt Passmore Tobin Bell Callum Keith Rennie Hannah Emily Anderson,en,unknown,Crime Horror Mystery Peter Spierig Matt Passmore Tobin Bell Callum Keith Rennie Hannah Emily AndersonMichael Spierigen
The Man with the Iron Heart,"As the German Fascists expand their borders, scorching Europe from end to end, two brave Czechs of the Resistance prepare for a suicide mission to assassinate Reinhard Heydrich, the hideous mastermind behind the ""Final Solution"".",Action Biography Thriller ,Cédric Jimenez,Jason Clarke Rosamund Pike Jack O'Connell Jack Reynor,en,unknown,Action Biography Thriller Jason Clarke Rosamund Pike Jack O'Connell Jack ReynorCédric Jimenezen
xXx: Return of Xander Cage,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",Action Adventure Thriller ,D.J. Caruso,Vin Diesel Donnie Yen Deepika Padukone Kris Wu,en,unknown,Action Adventure Thriller Vin Diesel Donnie Yen Deepika Padukone Kris WuD.J. Carusoen
The Lego Batman Movie,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",Animation Action Comedy ,Chris McKay,Will Arnett Michael Cera Rosario Dawson Ralph Fiennes,en,unknown,Animation Action Comedy Will Arnett Michael Cera Rosario Dawson Ralph FiennesChris McKayen
Downsizing,"A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.",Drama Science Fiction ,Alexander Payne,Matt Damon Christoph Waltz Hong Chau Kristen Wiig,en,unknown,Drama Science Fiction Matt Damon Christoph Waltz Hong Chau Kristen WiigAlexander Payneen
Daddy's Home 2,"Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.",Comedy ,Sean Anders,Will Ferrell Mark Wahlberg Mel Gibson John Lithgow,en,unknown,Comedy Will Ferrell Mark Wahlberg Mel Gibson John LithgowSean Andersen
The Emoji Movie,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",Animation Adventure Comedy ,Tony Leondis,T.J. Miller James Corden Anna Faris Maya Rudolph,en,unknown,Animation Adventure Comedy T.J. Miller James Corden Anna Faris Maya RudolphTony Leondisen
09-Nov,"Five people find themselves trapped in an elevator during the September 11 attacks. They soon work together, never giving up hope, to try to escape before the unthinkable happens.",Action Horror Thriller ,Martin Guigui,Charlie Sheen Gina Gershon Whoopi Goldberg Luis Guzmán,en,unknown,Action Horror Thriller Charlie Sheen Gina Gershon Whoopi Goldberg Luis GuzmánMartin Guiguien
02:22,"A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",Drama Mystery Science Fiction ,Paul Currie,Michiel Huisman Teresa Palmer Sam Reid John Waters,en,unknown,Drama Mystery Science Fiction Michiel Huisman Teresa Palmer Sam Reid John WatersPaul Currieen
The Discovery,"Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past.",Drama Romance Science Fiction ,Charlie McDowell,Robert Redford Mary Steenburgen Brian McCarthy Jason Segel,en,unknown,Drama Romance Science Fiction Robert Redford Mary Steenburgen Brian McCarthy Jason SegelCharlie McDowellen
Paddington 2,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",Adventure Comedy Family ,Paul King,Ben Whishaw Hugh Grant Hugh Bonneville Sally Hawkins,en,unknown,Adventure Comedy Family Ben Whishaw Hugh Grant Hugh Bonneville Sally HawkinsPaul Kingen
Ingrid Goes West,An unhinged social media stalker moves to LA and insinuates herself into the life of an Instagram star.,Comedy Drama ,Matt Spicer,Aubrey Plaza Elizabeth Olsen O'Shea Jackson Jr. Wyatt Russell,en,unknown,Comedy Drama Aubrey Plaza Elizabeth Olsen O'Shea Jackson Jr. Wyatt RussellMatt Spiceren
Chips,"A rookie officer is teamed with a hardened pro at the California Highway Patrol, though the newbie soon learns his partner is really an undercover Fed investigating a heist that may involve some crooked cops.",Action Comedy Crime ,Dax Shepard,Michael Peña Dax Shepard Vincent D'Onofrio Rosa Salazar,en,unknown,Action Comedy Crime Michael Peña Dax Shepard Vincent D'Onofrio Rosa SalazarDax Sheparden
47 Meters Down,"Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.",Adventure Drama Horror ,Johannes Roberts,Mandy Moore Claire Holt Matthew Modine Chris Johnson,en,unknown,Adventure Drama Horror Mandy Moore Claire Holt Matthew Modine Chris JohnsonJohannes Robertsen
Rough Night,Things go terribly wrong for a group of girlfriends who hire a male stripper for a bachelorette party in Miami.,Comedy Crime Thriller ,Lucia Aniello,Scarlett Johansson Kate McKinnon Zoë Kravitz Ilana Glazer,en,unknown,Comedy Crime Thriller Scarlett Johansson Kate McKinnon Zoë Kravitz Ilana GlazerLucia Anielloen
